veritas_product_id,official_title,matched_master_uuids,official_categories,dominant_category,dominance_rule,mapped_series,review_status,reviewed_on,review_notes
1566,Volume V: Undoing the Barriers to Spiritual Progress,210; 211; 212,Volume Series,Volume Series,R7,Volume Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1568,Volume I: Power vs. Force Muscle Testing,202; 203,Volume Series,Volume Series,R7,Volume Series,approved,2026-08-03,Master record is the Volume I Power vs Force DVD (primary source match); proposed series 'Volume Series' equals the curated series. Conflicting edition signals rejected for this record.
1578,Satsang Series (Jan 2007),251,Satsang; Satsang 2007,Satsang,R2,Satsang Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1584,Satsang Series (Mar 2007),252,Satsang; Satsang 2007,Satsang,R2,Satsang Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1586,Satsang Series (May 2007),253,Satsang; Satsang 2007,Satsang,R2,Satsang Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1592,Satsang Series (Jul 2007),254,Satsang; Satsang 2007,Satsang,R2,Satsang Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1602,Satsang Series (Sep 2007),255,Satsang; Satsang 2007,Satsang,R2,Satsang Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1633,Satsang Series (May 2008),256,Satsang; Satsang 2008,Satsang,R2,Satsang Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1639,Satsang Series (Jul 2008),350,Satsang; Satsang 2008,Satsang,R2,Satsang Series,approved,2026-08-04,Bulk-approved 2026-08-04 with owner's delegation: taxonomy-derived series equals the curated series baseline for every referenced master ID (proven no-op; the 10 differing 2026-08-04 proposals stay pending owner ruling).
1645,Satsang Series (Sep 2008),257,Satsang; Satsang 2008,Satsang,R2,Satsang Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1659,Satsang Series (Jan 2009),258,Satsang; Satsang 2009,Satsang,R2,Satsang Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1661,“In the World But Not of It” – Audio,329,Media Miscellaneous,Media Miscellaneous,R7,Media Miscellaneous,proposed,,
1671,Satsang Series (May 2009),259,Satsang; Satsang 2009,Satsang,R2,Satsang Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1677,Satsang Series (Sep 2009),260,Satsang; Satsang 2009,Satsang,R2,Satsang Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1683,Satsang Series (Nov 2009),261,Satsang; Satsang 2009,Satsang,R2,Satsang Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1687,Satsang Series (Feb 2010),262,Satsang; Satsang 2010,Satsang,R2,Satsang Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1695,Healing: Achieving Total Wellness Through Higher Levels of Consciousness – Audio,328,Media Miscellaneous,Media Miscellaneous,R7,Media Miscellaneous,proposed,,
1697,Satsang Series (Jun 2010),351,Satsang; Satsang 2010,Satsang,R2,Satsang Series,approved,2026-08-04,Bulk-approved 2026-08-04 with owner's delegation: taxonomy-derived series equals the curated series baseline for every referenced master ID (proven no-op; the 10 differing 2026-08-04 proposals stay pending owner ruling).
1699,Satsang Series (Sep 2010),352,Satsang; Satsang 2010,Satsang,R2,Satsang Series,approved,2026-08-04,Bulk-approved 2026-08-04 with owner's delegation: taxonomy-derived series equals the curated series baseline for every referenced master ID (proven no-op; the 10 differing 2026-08-04 proposals stay pending owner ruling).
1704,Satsang Series (Nov 2010),263,Satsang; Satsang 2010,Satsang,R2,Satsang Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1712,Question/Answer Session (Mar 2011),200,Satsang; Satsang 2011; Satsang Series and Question & Answer Sessions,Satsang,R2,Satsang Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1728,Truth vs. Falsehood: The Art of Spiritual Discernment (CD & DVD set),327,Media Miscellaneous,Media Miscellaneous,R7,Media Miscellaneous,proposed,,
1742,The Highest Level of Enlightenment – Audio,330,Media Miscellaneous,Media Miscellaneous,R7,Media Miscellaneous,proposed,,
1792,Don’t Set Sail Without A Compass – Audio,356,Media Miscellaneous,Media Miscellaneous,R7,Media Miscellaneous,approved,2026-08-04,Bulk-approved 2026-08-04 with owner's delegation: taxonomy-derived series equals the curated series baseline for every referenced master ID (proven no-op; the 10 differing 2026-08-04 proposals stay pending owner ruling).
1802,God is The Infinite Field,269,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1804,The Power of Devotion,272,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1810,God is Hidden Within the Beauty of the Music,268,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1814,Peace is the Natural State,357,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,proposed,,
1820,Success Is for You: Using Heart-Centered Power Principles for Lasting Abundance and Fulfillment (Book),296,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1822,Love is a Way of Being,218; 219; 220,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1826,All is Divinity,266,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1828,The Ever-Present Joy,271,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1830,Verification of Spiritual Realities,230; 231; 232,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
36441,Virtues: The Spiritual Foundation,276,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
37223,You Are the Light of Consciousness,277,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
37761,The Prevailing Silence,273,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
38104,Become That Which You Are,215; 216; 217,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
38608,Book of Slides (The Complete Collection),314,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,approved,2026-08-04,Bulk-approved 2026-08-04 with owner's delegation: taxonomy-derived series equals the curated series baseline for every referenced master ID (proven no-op; the 10 differing 2026-08-04 proposals stay pending owner ruling).
39375,Compassion: The Pathway of the Heart,267,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
40035,Truth Shines Forth,275,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
42624,The Presence of Spiritual Awareness,222; 223; 224,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
43146,The Power of Love: A Transformed Heart Changes the World (Book),315,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,approved,2026-08-04,Bulk-approved 2026-08-04 with owner's delegation: taxonomy-derived series equals the curated series baseline for every referenced master ID (proven no-op; the 10 differing 2026-08-04 proposals stay pending owner ruling).
43728,The Map of Consciousness Explained: A Proven Energy Scale to Actualize Your Ultimate Potential (Book),295,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
46042,Spiritual Reality,270,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
47979,The Ego is Not the Real You (Book),316,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,approved,2026-08-04,Bulk-approved 2026-08-04 with owner's delegation: taxonomy-derived series equals the curated series baseline for every referenced master ID (proven no-op; the 10 differing 2026-08-04 proposals stay pending owner ruling).
48825,Transcending the Ego,274,On the Road - Talk Series,On the Road - Talk Series,R4,On The Road Talk Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50370,Letting Go: The Pathway of Surrender (Book),290,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50378,Healing and Recovery (Book),291,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50382,I: Reality and Subjectivity (Book),288,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50388,"Reality, Spirituality and Modern Man (Book)",293,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50393,The Eye of the I (Book),287,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50398,Truth vs. Falsehood: How to Tell the Difference (Book),289,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50407,Transcending the Levels of Consciousness (Book),294,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50411,Power vs. Force: The Hidden Determinants of Human Behavior book,202,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,rejected,2026-08-03,Master record 202 is the Volume I DVD; the book product's 'Books' category describes a different edition of the same work title and must not re-series this record.
50432,A Map of Consciousness,247,Archival Office Visit Series,Archival Office Visit Series,R6,Office Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50435,Alcoholism,244,Archival Office Visit Series,Archival Office Visit Series,R6,Office Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50438,Cancer,248,Archival Office Visit Series,Archival Office Visit Series,R6,Office Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50441,Spiritual First Aid,235,Archival Office Visit Series,Archival Office Visit Series,R6,Office Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50444,Losing Weight,241,Archival Office Visit Series,Archival Office Visit Series,R6,Office Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50447,Stress,233,Archival Office Visit Series,Archival Office Visit Series,R6,Office Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50453,Drug Addiction and Alcoholism,245,Archival Office Visit Series,Archival Office Visit Series,R6,Office Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50458,Death and Dying,250,Archival Office Visit Series,Archival Office Visit Series,R6,Office Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50461,Depression,242,Archival Office Visit Series,Archival Office Visit Series,R6,Office Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50464,Handling Major Crises,238,Archival Office Visit Series,Archival Office Visit Series,R6,Office Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50467,Health,234,Archival Office Visit Series,Archival Office Visit Series,R6,Office Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50470,Illness and Self-Healing,243,Archival Office Visit Series,Archival Office Visit Series,R6,Office Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50473,Pain and Suffering,240,Archival Office Visit Series,Archival Office Visit Series,R6,Office Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50476,Sexuality,236,Archival Office Visit Series,Archival Office Visit Series,R6,Office Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50479,The Aging Process,237,Archival Office Visit Series,Archival Office Visit Series,R6,Office Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50482,"Worry, Fear, and Anxiety",239,Archival Office Visit Series,Archival Office Visit Series,R6,Office Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50485,Permanent Inner Peace (2012),312,Discussion Series,Discussion Series,R7,Discussion Series,proposed,,
50488,What is Real Success? (2012),313,Discussion Series,Discussion Series,R7,Discussion Series,proposed,,
50491,How to Live Your Life Like A Prayer (2012),121,Discussion Series,Discussion Series,R7,Discussion Series,rejected,2026-08-03,Master record 121 is the Nov 2006 lecture; the 2012 Discussion Series product is a separate item already covered as related_material; its category must not re-series the 2006 lecture record.
50494,What You Are Changes the World (2012),285,Discussion Series,Discussion Series,R7,Discussion Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50507,Improving Your Relationships (2012),280,Discussion Series,Discussion Series,R7,Discussion Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50510,How to See the Reality of Life (2012),279,Discussion Series,Discussion Series,R7,Discussion Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50513,The Importance of Family (2012),282,Discussion Series,Discussion Series,R7,Discussion Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50516,What is Meant by Spiritual (2012),283,Discussion Series,Discussion Series,R7,Discussion Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50521,A Review of the Work (Sep 2007),142; 143; 144,Lecture Series 2002: The Way to God; Lecture Series 2007: Spiritual Reality & Modern Man,Lecture Series 2007: Spiritual Reality & Modern Man,R3,Spiritual Reality & Modern Man,approved,2026-08-03,"Manual dominance resolution per delegated review: publisher assigns both 2002 and 2007 annual categories, but the official title dates Sep 2007 and the sibling 2006 edition carries its own category; dominant = Lecture Series 2007: Spiritual Reality & Modern Man, equal to the curated series of records 142-144."
50567,Causality: The Ego’s Foundation (Jan 2002),1; 2; 3,Lecture Series 2002: The Way to God; Lectures Series,Lecture Series 2002: The Way to God,R3,The Way to God,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50574,The Levels of Consciousness: Subjective & Social Consequences (Mar 2002),7; 8; 9,Lecture Series 2002: The Way to God; Lectures Series,Lecture Series 2002: The Way to God,R3,The Way to God,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50577,Positionality and Duality: Transcending the Opposites (Apr 2002),10; 11; 12,Lecture Series 2002: The Way to God; Lectures Series,Lecture Series 2002: The Way to God,R3,The Way to God,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50580,Perception and Illusion: Distortions of Reality (May 2002),13; 14; 15,Lecture Series 2002: The Way to God; Lectures Series,Lecture Series 2002: The Way to God,R3,The Way to God,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50583,Realizing the Root of Consciousness: Meditative and Contemplative Techniques (Jun 2002),16; 17; 18,Lecture Series 2002: The Way to God; Lectures Series,Lecture Series 2002: The Way to God,R3,The Way to God,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50586,The Nature of Divinity vs Religious Fallacy (Jul 2002),19; 20; 21,Lecture Series 2002: The Way to God; Lectures Series,Lecture Series 2002: The Way to God,R3,The Way to God,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50589,Advaita: The Way to God Through Mind (Aug 2002),22; 23; 24,Lecture Series 2002: The Way to God; Lectures Series,Lecture Series 2002: The Way to God,R3,The Way to God,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50592,Devotion: The Way to God Through the Heart (Sep 2002),25; 26; 27,Lecture Series 2002: The Way to God; Lectures Series,Lecture Series 2002: The Way to God,R3,The Way to God,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50595,Karma and the Afterlife (Oct 2002),28; 29; 30,Lecture Series 2002: The Way to God; Lectures Series,Lecture Series 2002: The Way to God,R3,The Way to God,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50598,God: Transcendent and Immanent (Nov 2002),31; 32; 33,Lecture Series 2002: The Way to God; Lectures Series,Lecture Series 2002: The Way to God,R3,The Way to God,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50601,Realization of the Self: The Final Moments (Dec 2002),34; 35; 36,Lecture Series 2002: The Way to God; Lectures Series,Lecture Series 2002: The Way to God,R3,The Way to God,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50607,Spirituality and the World (Apr 2003),40; 41; 42,Lecture Series 2003: Devotional Nonduality; Lectures Series,Lecture Series 2003: Devotional Nonduality,R3,Devotional Nonduality,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50610,Spiritual Community (Jun 2003),43; 44; 45,Lecture Series 2003: Devotional Nonduality; Lectures Series,Lecture Series 2003: Devotional Nonduality,R3,Devotional Nonduality,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50614,Integration of Spirituality and Personal Life (Feb 2003),37; 38; 39,Lecture Series 2003: Devotional Nonduality; Lectures Series,Lecture Series 2003: Devotional Nonduality,R3,Devotional Nonduality,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
50617,Realization of the Self as the ‘I’ (Nov 2003),49; 50; 51,Lecture Series 2003: Devotional Nonduality; Lectures Series,Lecture Series 2003: Devotional Nonduality,R3,Devotional Nonduality,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
