registry_path,folder,mime,size_bytes,bucket,matched_uuid,matched_title,matched_series,tier,confidence,evidence,candidate_uuids
Audiobooks/AdvancingSpiritualAwareness[B00B1D1ZVI]/AdvancingSpiritualAwareness:Freedom:MoralityandEthics[B00B1D1ZVI].m4b,Audiobooks,audio/x-m4b,144255780,A,169;170;171,Freedom: Morality and Ethics,Advanced Spiritual Awareness,T1p,1.00,exact after collection-prefix strip: freedommoralityandethics,
Audiobooks/AdvancingSpiritualAwareness[B00B1D214I]/AdvancingSpiritualAwareness:Spirituality:ReasonandFaith[B00B1D214I].m4b,Audiobooks,audio/x-m4b,141151943,A,154;155;156,Spirituality: Reason and Faith,Advanced Spiritual Awareness,T1p,1.00,exact after collection-prefix strip: spiritualityreasonandfaith,
Audiobooks/AdvancingSpiritualAwareness[B00B1D2418]/AdvancingSpiritualAwareness:TheClearPathwaytoEnlightenment[B00B1D2418].m4b,Audiobooks,audio/x-m4b,141577153,A,157;158;159,The Clear Pathway to Enlightenment,Advanced Spiritual Awareness,T1p,1.00,exact after collection-prefix strip: theclearpathwaytoenlightenment,
Audiobooks/AllIsDivinity[B09W72KQWM]/AllIsDivinity[B09W72KQWM].m4b,Audiobooks,audio/x-m4b,220596250,A,266,All is Divinity,On The Road Talk Series,T1x,1.00,exact name key(s): allisdivinity,
Audiobooks/DevotionalNondualityIntensive[B009LKPYRY]/DevotionalNondualityIntensive:Intention[B009LKPYRY].m4b,Audiobooks,audio/x-m4b,143640711,A,79;80;81;336,Intention,Nonduality Intensive,T1x,1.00,all significant tokens of a name segment match (prior: Nonduality Intensive); exact after collection-prefix strip: intention; exact name key(s): devotionalnondualityintensiveintention,
Audiobooks/DevotionalNondualityIntensive[B009LKQ43W]/DevotionalNondualityIntensive:Conviction[B009LKQ43W].m4b,Audiobooks,audio/x-m4b,143840630,A,85;86;87,Conviction,Nonduality Intensive,T1p,1.00,exact after collection-prefix strip: conviction,
Audiobooks/DevotionalNondualityIntensive[B009LKQMKW]/DevotionalNondualityIntensive:TranscendingBarriers[B009LKQMKW].m4b,Audiobooks,audio/x-m4b,145558313,A,82;83;84,Transcending Barriers,Nonduality Intensive,T1p,1.00,exact after collection-prefix strip: transcendingbarriers,
Audiobooks/DevotionalNondualityIntensive[B009LLI07Y]/DevotionalNondualityIntensive:Alignment[B009LLI07Y].m4b,Audiobooks,audio/x-m4b,137001306,A,76;77;78;337,Alignment,Nonduality Intensive,T1x,1.00,all significant tokens of a name segment match (prior: Nonduality Intensive); exact after collection-prefix strip: alignment; exact name key(s): devotionalnondualityintensivealignment,
"Audiobooks/DevotionalNondualityIntensive[B009LLIOEI]/DevotionalNondualityIntensive:God,Religion,andSpirituality[B009LLIOEI].m4b",Audiobooks,audio/x-m4b,145492699,A,100;101;102,"God, Religion, and Spirituality",Nonduality Intensive,T1p,1.00,"exact after collection-prefix strip: godreligionandspirituality, godreligionspirituality",
Audiobooks/DevotionalNondualityIntensive[B009LLIZ9C]/DevotionalNondualityIntensive:Serenity[B009LLIZ9C].m4b,Audiobooks,audio/x-m4b,142368450,A,88;89;90,Serenity,Nonduality Intensive,T1p,1.00,exact after collection-prefix strip: serenity,
Audiobooks/DevotionalNondualityIntensive[B009LLJ6ZO]/DevotionalNondualityIntensive:Vision[B009LLJ6ZO].m4b,Audiobooks,audio/x-m4b,143978154,A,73;74;75,Vision,Nonduality Intensive,T1p,1.00,exact after collection-prefix strip: vision,
Audiobooks/DevotionalNondualityIntensive[B009PIQ58E]/DevotionalNondualityIntensive:TranscendingObstacles[B009PIQ58E].m4b,Audiobooks,audio/x-m4b,144768363,A,91;92;93,Transcending Obstacles,Nonduality Intensive,T1p,1.00,exact after collection-prefix strip: transcendingobstacles,
Audiobooks/DevotionalNondualityIntensive[B009PIQ7QY]/DevotionalNondualityIntensive:SpiritualTraps[B009PIQ7QY].m4b,Audiobooks,audio/x-m4b,146520710,A,94;95;96,Spiritual Traps,Nonduality Intensive,T1p,1.00,exact after collection-prefix strip: spiritualtraps,
Audiobooks/DiscoveryofthePresenceofGod[1401962653]/DiscoveryofthePresenceofGod[1401962653].m4b,Audiobooks,audio/x-m4b,558860593,A,292,Discovery of the Presence of God: Devotional Nonduality,Books,T1x,1.00,exact name key(s): discoveryofthepresenceofgod,
Audiobooks/DiscoveryofthePresenceofGod[1401962653]/DiscoveryofthePresenceofGod[1401962653].pdf,Audiobooks,application/pdf,452016,A,292,Discovery of the Presence of God: Devotional Nonduality,Books,T1x,1.00,exact name key(s): discoveryofthepresenceofgod,
"Audiobooks/DiscussionSeries2012[B00JS2MZIQ]/DiscussionSeries2012:LiveYourLifeLikeaPrayer,WhatYouAreChangestheWorld,WhatisRealSuccess?PermanentInnerPeace[B00JS2MZIQ].m4b",Audiobooks,audio/x-m4b,98520642,A,121;122;123;285;312;313;343,Live Your Life Like a Prayer + What You are Changes the World + Permanent Inner Peace + What is Real Success?,Transcending Levels of Consciousness,T1c,1.00,containment: master key 'liveyourlifelikeaprayer' inside registry name; containment: master key 'permanentinnerpeace' inside registry name; containment: master key 'whatisrealsuccess' inside registry name; containment: master key 'whatyouarechangestheworld' inside registry name; multi-work compilation (4 works),
"Audiobooks/DiscussionSeries2013[B00JU6I1M4]/DiscussionSeries2013:HowtoSeetheRealityofLife,ImproveYourRelationsips,WhatIsMeantbySpiritual,TheImportanceofFamily[B00JU6I1M4].m4b",Audiobooks,audio/x-m4b,104665651,A,279;282;283,How to See the Reality of Life + The Importance of Family + What is Meant by Spiritual,Discussion Series,T1c,1.00,containment: master key 'howtoseetherealityoflife' inside registry name; containment: master key 'theimportanceoffamily' inside registry name; containment: master key 'whatismeantbyspiritual' inside registry name; multi-work compilation (3 works),
Audiobooks/Don'tSetSailwithoutaCompass![B00LCE5MRE]/Don'tSetSailwithoutaCompass![B00LCE5MRE].m4b,Audiobooks,audio/x-m4b,31471896,A,356,Don’t Set Sail Without A Compass – Audio,Media Miscellaneous,T1x,1.00,exact name key(s): dontsetsailwithoutacompass,
Audiobooks/GivingUpIllnessThrough'ACourseinMiracles'[B00KXCFHAS]/GivingUpIllnessThrough'ACourseinMiracles'[B00KXCFHAS].m4b,Audiobooks,audio/x-m4b,107680105,A,353,Giving Up Illness through A Course in Miracles© – Audio,Media Miscellaneous,T1x,1.00,all significant tokens of a name segment match (prior: none); exact name key(s): givingupillnessthroughacourseinmiracles,
Audiobooks/Glamour[B0CQRK3N1F]/Glamour:AWorldProblem[B0CQRK3N1F].m4b,Audiobooks,audio/x-m4b,515751729,C,,,,,0.00,no candidate at or above 0.55,
Audiobooks/Glamour[B0CQRK3N1F]/Glamour:AWorldProblem[B0CQRK3N1F].pdf,Audiobooks,application/pdf,218303,C,,,,,0.00,no candidate at or above 0.55,
Audiobooks/GodIstheInfiniteField[B09VYFVGN7]/GodIstheInfiniteField[B09VYFVGN7].m4b,Audiobooks,audio/x-m4b,216261058,A,269,God is The Infinite Field,On The Road Talk Series,T1x,1.00,exact name key(s): godistheinfinitefield,
Audiobooks/Healing[B00NPBHS2Y]/Healing:AchievingTotalWellnessThroughHigherLevelsofConsciousness[B00NPBHS2Y].m4b,Audiobooks,audio/x-m4b,203236406,A,291;324;328,Healing and Recovery,Books,T1x,1.00,all significant tokens of a name segment match (prior: none); exact name key(s): healingachievingtotalwellnessthroughhigherlevelsofconsciousness; exact title head 'healing',
Audiobooks/Healing[B00NPBHS2Y]/Healing:AchievingTotalWellnessThroughHigherLevelsofConsciousness[B00NPBHS2Y].pdf,Audiobooks,application/pdf,576769,A,291;324;328,Healing and Recovery,Books,T1x,1.00,all significant tokens of a name segment match (prior: none); exact name key(s): healingachievingtotalwellnessthroughhigherlevelsofconsciousness; exact title head 'healing',
Audiobooks/HealingandRecovery.mp3,Audiobooks,audio/mpeg,958743832,A,291;324;328,Healing and Recovery,Books,T1x,1.00,exact name key(s): healingandrecovery,
Audiobooks/HealingandRecovery[1401962440]/HealingandRecovery[1401962440].m4b,Audiobooks,audio/x-m4b,951674690,A,291;324;328,Healing and Recovery,Books,T1x,1.00,exact name key(s): healingandrecovery,
Audiobooks/HealingandRecovery[1401962440]/HealingandRecovery[1401962440].pdf,Audiobooks,application/pdf,6075535,A,291;324;328,Healing and Recovery,Books,T1x,1.00,exact name key(s): healingandrecovery,
Audiobooks/HomoSpiritus[B00852UXBQ]/HomoSpiritus:DevotionalNondualitySeries(Enlightenment-August2003)[B00852UXBQ].m4b,Audiobooks,audio/x-m4b,148236312,A,46;47;48,Enlightenment,Devotional Nonduality,T1p,1.00,exact after collection-prefix strip: enlightenment,
Audiobooks/HowtoRaiseYourLevelofConsciousness[B00KVNJ2FA]/HowtoRaiseYourLevelofConsciousness[B00KVNJ2FA].m4b,Audiobooks,audio/x-m4b,57582672,A,213,Volume VI: How to Raise Your Level of Consciousness,Volume Series,T1c,1.00,containment: registry key 'howtoraiseyourlevelofconsciousness' inside master key,
Audiobooks/HowtoSurrendertoGod[1401960502]/HowtoSurrendertoGod:ThePathtoEnlightenmentThroughLettingGo[1401960502].m4b,Audiobooks,audio/x-m4b,178394870,A,372,How to Surrender to God,Hay House,T1h,1.00,exact title head 'howtosurrendertogod',
Audiobooks/HowtoSurrendertoGod[1401960502]/HowtoSurrendertoGod:ThePathtoEnlightenmentThroughLettingGo[1401960502].pdf,Audiobooks,application/pdf,159817,A,372,How to Surrender to God,Hay House,T1h,1.00,exact title head 'howtosurrendertogod',
Audiobooks/IAmNottheBody[B092LKVN1K]/IAmNottheBody:DiscoveringtheTruthBeyondBondage[B092LKVN1K].m4b,Audiobooks,audio/x-m4b,296307214,C,,,,,0.00,no candidate at or above 0.55,
Audiobooks/I[1401962661]/I:RealityandSubjectivity[1401962661].m4b,Audiobooks,audio/x-m4b,1213729846,A,288,I: Reality and Subjectivity,Books,T1x,1.00,exact name key(s): irealityandsubjectivity,
Audiobooks/I[1401962661]/I:RealityandSubjectivity[1401962661].pdf,Audiobooks,application/pdf,234443,A,288,I: Reality and Subjectivity,Books,T1x,1.00,exact name key(s): irealityandsubjectivity,
"Audiobooks/IntheWorld,butNotofIt[B00NMUQ8DS]/IntheWorld,butNotofIt:LivingSpirituallyintheModernWorld[B00NMUQ8DS].m4b",Audiobooks,audio/x-m4b,175135075,A,300;326;329,In the World But Not Of It: Transforming Everyday Experience into a Spiritual Path,Books,T1h,1.00,exact title head 'intheworldbutnotofit',
"Audiobooks/IntheWorld,butNotofIt[B00NMUQ8DS]/IntheWorld,butNotofIt:LivingSpirituallyintheModernWorld[B00NMUQ8DS].pdf",Audiobooks,application/pdf,14112114,A,300;326;329,In the World But Not Of It: Transforming Everyday Experience into a Spiritual Path,Books,T1h,1.00,exact title head 'intheworldbutnotofit',
Audiobooks/IntheWorldbutNotofIt[B00BJ6HQYW]/IntheWorldbutNotofIt:WhatIstheWorld?[B00BJ6HQYW].m4b,Audiobooks,audio/x-m4b,141500589,A,175;176;177,What is the World?,In the World but Not of It,T1p,1.00,exact after collection-prefix strip: whatistheworld,
Audiobooks/IntheWorldbutNotofIt[B00BJ6HVUG]/IntheWorldbutNotofIt:Happiness[B00BJ6HVUG].m4b,Audiobooks,audio/x-m4b,135384469,A,178;179;180,Happiness,In the World but Not of It,T1p,1.00,exact after collection-prefix strip: happiness,
Audiobooks/IntheWorldbutNotofIt[B00BJQ65U8]/IntheWorldbutNotofIt:Success[B00BJQ65U8].m4b,Audiobooks,audio/x-m4b,139228333,A,184;185;186,Success,In the World but Not of It,T1p,1.00,exact after collection-prefix strip: success,
Audiobooks/IntheWorldbutNotofIt[B00BUSUJ8E]/IntheWorldbutNotofIt:Peace[B00BUSUJ8E].m4b,Audiobooks,audio/x-m4b,134963415,A,181;182;183,Peace,In the World but Not of It,T1p,1.00,exact after collection-prefix strip: peace,
Audiobooks/LettingGoThePathwayofSurrender.mp3,Audiobooks,audio/mpeg,357069577,A,290;323,Letting Go: The Pathway of Surrender,Books,T1x,1.00,all significant tokens of a name segment match (prior: none); exact name key(s): lettinggothepathwayofsurrender,
Audiobooks/LiveLifeAsAPrayer[140196270X]/LiveLifeAsAPrayer[140196270X].m4b,Audiobooks,audio/x-m4b,107946361,A,121;122;123;278;343,Live Your Life Like a Prayer + How to Live Your Life Like A Prayer,Transcending Levels of Consciousness,T1x,1.00,all significant tokens of a name segment match (prior: none); exact name key(s): livelifeasaprayer; multi-work compilation (2 works),
Audiobooks/LiveLifeAsAPrayer[140196270X]/LiveLifeAsAPrayer[140196270X].pdf,Audiobooks,application/pdf,92686,A,121;122;123;278;343,Live Your Life Like a Prayer + How to Live Your Life Like A Prayer,Transcending Levels of Consciousness,T1x,1.00,all significant tokens of a name segment match (prior: none); exact name key(s): livelifeasaprayer; multi-work compilation (2 works),
Audiobooks/LiveontheCrestoftheMoment[B09YFMQZJ2]/LiveontheCrestoftheMoment[B09YFMQZJ2].m4b,Audiobooks,audio/x-m4b,18651307,C,,,,,0.00,no candidate at or above 0.55,
Audiobooks/Love[0744036224]/Love:ThePsychologyofAttraction:APracticalGuidetoSuccessfulDatingandaHappyRelationship[0744036224].m4b,Audiobooks,audio/x-m4b,534339017,A,196;197;198,Love,Love & Spiritual Seeker Qualities,T1h,1.00,exact title head 'love',
Audiobooks/Love[B00BJP8BN8]/Love[B00BJP8BN8].m4b,Audiobooks,audio/x-m4b,105352182,A,196;197;198,Love,Love & Spiritual Seeker Qualities,T1x,1.00,exact name key(s): love,
Audiobooks/MostValuableQualitiesforaSpiritualSeeker[B00BJQ67DI]/MostValuableQualitiesforaSpiritualSeeker[B00BJQ67DI].m4b,Audiobooks,audio/x-m4b,115212010,A,193;194;195,Most Valuable Qualities for a Spiritual Seeker,Love & Spiritual Seeker Qualities,T1x,1.00,all significant tokens of a name segment match (prior: none); exact name key(s): mostvaluablequalitiesforaspiritualseeker,
Audiobooks/OM[B09YFZQ121]/OM[B09YFZQ121].m4b,Audiobooks,audio/x-m4b,57335741,A,371,OM,Media Miscellaneous,T1x,1.00,exact name key(s): om,
"Audiobooks/OfficeVisit,SetI[B00K6P556S]/OfficeVisit,SetI:Stress,HealthandSpiritualFirstAid[B00K6P556S].m4b",Audiobooks,audio/x-m4b,99426592,A,235,Spiritual First Aid,Office Series,T1c,1.00,containment: master key 'spiritualfirstaid' inside registry name,
"Audiobooks/OfficeVisitSetIII[B00K5ZR9M2]/OfficeVisitSetIII:Worry,Fear&Anxiety,Pain&Suffering,andLosingWeight[B00K5ZR9M2].m4b",Audiobooks,audio/x-m4b,101007057,A,239;240;241,"Worry, Fear, and Anxiety + Pain and Suffering + Losing Weight",Office Series,T1c,1.00,containment: master key 'losingweight' inside registry name; containment: master key 'painsuffering' inside registry name; containment: master key 'worryfearanxiety' inside registry name; multi-work compilation (3 works),
"Audiobooks/OfficeVisitSetII[B00K6P53O2]/OfficeVisitSetII:Sexuality,TheAgingProcessandHandlingMajorCrises[B00K6P53O2].m4b",Audiobooks,audio/x-m4b,95203761,A,237;238,The Aging Process + Handling Major Crises,Office Series,T1c,1.00,containment: master key 'agingprocess' inside registry name; containment: master key 'handlingmajorcrises' inside registry name; containment: master key 'theagingprocess' inside registry name; multi-work compilation (2 works),
"Audiobooks/OfficeVisitSetIV[B00K8CYWSQ]/OfficeVisitSetIV:Depression,Illness&SelfHealing,andAlcoholism[B00K8CYWSQ].m4b",Audiobooks,audio/x-m4b,93333183,A,243,Illness and Self-Healing,Office Series,T1c,1.00,containment: master key 'illnessselfhealing' inside registry name,
Audiobooks/Powervs.ForceTheHiddenDeterminantsofHumanBehavior.mp3,Audiobooks,audio/mpeg,235437707,A,286;320;331;373,Power vs. Force: The Hidden Determinants of Human Behavior,Books,T1x,1.00,exact name key(s): powervsforcethehiddendeterminantsofhumanbehavior,
Audiobooks/Powervs.Force[B002V5GOH0]/Powervs.Force:TheHiddenDeterminantsofHumanBehavior[B002V5GOH0].m4b,Audiobooks,audio/x-m4b,233839626,A,286;320;331;373,Power vs. Force: The Hidden Determinants of Human Behavior,Books,T1x,1.00,exact name key(s): powervsforcethehiddendeterminantsofhumanbehavior; exact title head 'powervsforce',
Audiobooks/Powervs.Force[B002V5GOH0]/Powervs.Force:TheHiddenDeterminantsofHumanBehavior[B002V5GOH0].pdf,Audiobooks,application/pdf,180221,A,286;320;331;373,Power vs. Force: The Hidden Determinants of Human Behavior,Books,T1x,1.00,exact name key(s): powervsforcethehiddendeterminantsofhumanbehavior; exact title head 'powervsforce',
Audiobooks/PracticalSpirituality[B00BJ77EC0]/PracticalSpirituality:HandlingSpiritualChallenges[B00BJ77EC0].m4b,Audiobooks,audio/x-m4b,132074811,A,187;188;189,Handling Spiritual Challenges,Practical Spirituality,T1p,1.00,exact after collection-prefix strip: handlingspiritualchallenges,
Audiobooks/PracticalSpirituality[B00BJ77ORK]/PracticalSpirituality:SpiritualLifeinToday'sWorld[B00BJ77ORK].m4b,Audiobooks,audio/x-m4b,134940053,A,190;191;192,Spiritual Life In Today's World,Practical Spirituality,T1p,1.00,exact after collection-prefix strip: spirituallifeintodaysworld,
"Audiobooks/QuestionandAnswerSeries[B00K6P58EM]/QuestionandAnswerSeries:Jan,March,&July2011[B00K6P58EM].m4b",Audiobooks,audio/x-m4b,156306626,A,199;200;201,Question/Answer Session (Jan 2011) + Question/Answer Session (Mar 2011) + Question/Answer Session (Jul 2011),Satsang Series,T2sm,1.00,months 01/03/07 of 2011 match Satsang Series session(s); multi-work compilation (3 works),
"Audiobooks/Reality,SpiritualityandModernMan[140196267X]/Reality,SpiritualityandModernMan[140196267X].m4b",Audiobooks,audio/x-m4b,833940882,A,293,"Reality, Spirituality and Modern Man",Books,T1x,1.00,all significant tokens of a name segment match (prior: none); exact name key(s): realityspiritualityandmodernman,
"Audiobooks/Reality,SpiritualityandModernMan[140196267X]/Reality,SpiritualityandModernMan[140196267X].pdf",Audiobooks,application/pdf,2478105,A,293,"Reality, Spirituality and Modern Man",Books,T1x,1.00,all significant tokens of a name segment match (prior: none); exact name key(s): realityspiritualityandmodernman,
Audiobooks/SpiritualRealityandModernMan[B00AYG9D9E]/SpiritualRealityandModernMan:WhatIs'Real'?[B00AYG9D9E].m4b,Audiobooks,audio/x-m4b,144821090,A,133;134;135,What is 'Real'?,Spiritual Reality & Modern Man,T1p,1.00,exact after collection-prefix strip: whatisreal,
Audiobooks/SpiritualRealityandModernMan[B00AYII4HO]/SpiritualRealityandModernMan:WhatIsTruth?TheAbsolute[B00AYII4HO].m4b,Audiobooks,audio/x-m4b,148332123,A,136;137;138,What is Truth? The Absolute,Spiritual Reality & Modern Man,T1p,1.00,exact after collection-prefix strip: whatistruththeabsolute,
Audiobooks/SpiritualityReality[B09VYFT4XK]/SpiritualityReality[B09VYFT4XK].m4b,Audiobooks,audio/x-m4b,216699270,A,270,Spiritual Reality,On The Road Talk Series,T2t,1.00,tokens 2/2 significant (prior: none),
Audiobooks/SuccessIsforYouUsingHeart-CenteredPowerPrinciplesforLastingAbundanceandFulfillment.mp3,Audiobooks,audio/mpeg,177692696,A,296,Success Is for You: Using Heart-Centered Power Principles for Lasting Abundance and Fulfillment,Books,T1x,1.00,exact name key(s): successisforyouusingheartcenteredpowerprinciplesforlastingabundanceandfulfillment,
Audiobooks/TalkswithSriRamanaMaharshi[B0FTDGCWTP]/TalkswithSriRamanaMaharshi[B0FTDGCWTP].m4b,Audiobooks,audio/x-m4b,766729994,C,,,,,0.00,no candidate at or above 0.55,
"Audiobooks/TheBiologyofBelief[1683649079]/TheBiologyofBelief:UnleashingthePowerofConsciousness,Matter,andMiracles[1683649079].m4b",Audiobooks,audio/x-m4b,595680960,C,,,,,0.00,no candidate at or above 0.55,
"Audiobooks/TheBiologyofBelief[1683649079]/TheBiologyofBelief:UnleashingthePowerofConsciousness,Matter,andMiracles[1683649079].pdf",Audiobooks,application/pdf,18195854,C,,,,,0.00,no candidate at or above 0.55,
Audiobooks/TheCloudofUnknowing[B0DNRK5BY1]/TheCloudofUnknowing[B0DNRK5BY1].m4b,Audiobooks,audio/x-m4b,220444965,C,,,,,0.00,no candidate at or above 0.55,
Audiobooks/TheCloudofUnknowing[B0DNRK5BY1]/TheCloudofUnknowing[B0DNRK5BY1].pdf,Audiobooks,application/pdf,2767687,C,,,,,0.00,no candidate at or above 0.55,
Audiobooks/TheDiscovery[B00NO7TMRI]/TheDiscovery:RevealingthePresenceofGodinYourLife[B00NO7TMRI].m4b,Audiobooks,audio/x-m4b,199855542,A,369,The Discovery,Nightingale-Conant,T1h,1.00,exact title head 'thediscovery',
Audiobooks/TheDiscovery[B00NO7TMRI]/TheDiscovery:RevealingthePresenceofGodinYourLife[B00NO7TMRI].pdf,Audiobooks,application/pdf,576772,A,369,The Discovery,Nightingale-Conant,T1h,1.00,exact title head 'thediscovery',
Audiobooks/TheEssenceofLettingGo[B0FNDM2JNX]/TheEssenceofLettingGo:ALivingTransmissionofTruth[B0FNDM2JNX].m4b,Audiobooks,audio/x-m4b,446720245,A,358,The Essence of Letting Go: A Living Transmission of Truth,Media Miscellaneous,T1x,1.00,all significant tokens of a name segment match (prior: none); exact name key(s): theessenceoflettinggoalivingtransmissionoftruth; exact title head 'theessenceoflettinggo',
Audiobooks/TheEver-PresentJoy[B09VYFCMZH]/TheEver-PresentJoy[B09VYFCMZH].m4b,Audiobooks,audio/x-m4b,213785400,A,271,The Ever-Present Joy,On The Road Talk Series,T1x,1.00,all significant tokens of a name segment match (prior: none); exact name key(s): theeverpresentjoy,
Audiobooks/TheEyeoftheIFromWhichNothingIsHidden.mp3,Audiobooks,audio/mpeg,823598402,A,287;321,The Eye of the I,Books,T1c,1.00,containment: master key 'theeyeofthei' inside registry name,
Audiobooks/TheEyeoftheI[1401962459]/TheEyeoftheI:FromWhichNothingisHidden[1401962459].m4b,Audiobooks,audio/x-m4b,817570376,A,287;321,The Eye of the I,Books,T1h,1.00,exact title head 'theeyeofthei',
Audiobooks/TheEyeoftheI[1401962459]/TheEyeoftheI:FromWhichNothingisHidden[1401962459].pdf,Audiobooks,application/pdf,481214,A,287;321,The Eye of the I,Books,T1h,1.00,exact title head 'theeyeofthei',
Audiobooks/TheHighestLevelofEnlightenment[B00O3I950G]/TheHighestLevelofEnlightenment:TaptheDatabaseofConsciousnessforTotalSelf-Realization[B00O3I950G].m4b,Audiobooks,audio/x-m4b,170399250,A,301;330;332,The Highest Level of Enlightenment,Books,T1h,1.00,exact title head 'thehighestlevelofenlightenment',
Audiobooks/TheHighestLevelofEnlightenment[B00O3I950G]/TheHighestLevelofEnlightenment:TaptheDatabaseofConsciousnessforTotalSelf-Realization[B00O3I950G].pdf,Audiobooks,application/pdf,576766,A,301;330;332,The Highest Level of Enlightenment,Books,T1h,1.00,exact title head 'thehighestlevelofenlightenment',
Audiobooks/TheHolographicUniverse[1662083998]/TheHolographicUniverse:TheRevolutionaryTheoryofReality[1662083998].m4b,Audiobooks,audio/x-m4b,744136259,C,,,,,0.00,no candidate at or above 0.55,
Audiobooks/TheMapofConsciousnessExplained.mp3,Audiobooks,audio/mpeg,224900120,A,295,The Map of Consciousness Explained: A Proven Energy Scale to Actualize Your Ultimate Potential,Books,T1x,1.00,exact name key(s): themapofconsciousnessexplained,
Audiobooks/TheMapofConsciousnessExplained[1401958567]/TheMapofConsciousnessExplained:PracticalLecturesonEnergyFieldsandSpiritualEvolution[1401958567].m4b,Audiobooks,audio/x-m4b,223617144,A,295,The Map of Consciousness Explained: A Proven Energy Scale to Actualize Your Ultimate Potential,Books,T1h,1.00,exact title head 'themapofconsciousnessexplained',
Audiobooks/TheMapofConsciousnessExplained[1401958567]/TheMapofConsciousnessExplained:PracticalLecturesonEnergyFieldsandSpiritualEvolution[1401958567].pdf,Audiobooks,application/pdf,85224,A,295,The Map of Consciousness Explained: A Proven Energy Scale to Actualize Your Ultimate Potential,Books,T1h,1.00,exact title head 'themapofconsciousnessexplained',
Audiobooks/ThePowerofNow[B00FGF9FXM]/ThePowerofNow:AGuidetoSpiritualEnlightenment[B00FGF9FXM].m4b,Audiobooks,audio/x-m4b,436497540,C,,,,,0.00,no candidate at or above 0.55,
Audiobooks/ThePresenceofSpiritualAwareness[B0B94T8MH1]/ThePresenceofSpiritualAwareness[B0B94T8MH1].m4b,Audiobooks,audio/x-m4b,272641863,A,222;223;224,The Presence of Spiritual Awareness,On The Road Talk Series,T1x,1.00,all significant tokens of a name segment match (prior: none); exact name key(s): thepresenceofspiritualawareness,
